model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc,hit,L1Icache,L1Dcache,L2cache,pipelinewidth
2,12917630,791943,46056779,4467981,45566602,42542976,0.085361,10663293,32768,524288,1048576,8
2,12871556,686280,46066460,4531207,45697962,42769507,0.086145,10615871,32768,524288,1048576,8
2,13018712,755306,47058181,4673312,46610386,43628203,0.087799,10778558,32768,524288,1048576,8
2,12911911,730297,46037061,4491172,45625256,42670274,0.086004,10666281,32768,524288,1048576,8
2,13053698,760290,45982487,4416696,45540589,42518858,0.084949,10777753,32768,524288,1048576,8
2,12938950,762649,44237537,4116830,43784077,40739491,0.081234,10632697,32768,524288,1048576,8
2,12880206,727310,46016122,4506822,45596031,42644356,0.086188,10651803,32768,524288,1048576,8
2,12895615,667086,43415313,3985203,43082887,40091409,0.079971,10557517,32768,524288,1048576,8
2,12119310,6062164,84818399,6065407,84830009,84771068,0.299028,17787210,32768,524288,1048576,8
2,12112463,6055542,84779354,6061944,84791393,84742910,0.29903,17775625,32768,524288,1048576,8
2,12163531,6081367,85134960,6086600,85146025,85102017,0.300304,17850316,32768,524288,1048576,8
2,12166254,6082179,85156596,6089123,85169523,85119036,0.300353,17853861,32768,524288,1048576,8
2,12124717,6061608,84864269,6068183,84876707,84828454,0.299332,17793191,32768,524288,1048576,8
2,12180875,6090122,85256426,6095391,85267685,85222316,0.300725,17875516,32768,524288,1048576,8
2,12128482,6064031,84888066,6068533,84898770,84852629,0.299423,17798954,32768,524288,1048576,8
2,12188432,6093775,85308736,6099120,85320013,85275037,0.300912,17887170,32768,524288,1048576,8
2,15378773,3435664,46217373,1169466,10209343,46165745,0.101587,12331202,32768,524288,1048576,8
2,15254155,3397838,45894926,1178265,10183064,45846617,0.100972,12209755,32768,524288,1048576,8
2,15303667,3409002,46042782,1181617,10216019,45993700,0.101294,12234170,32768,524288,1048576,8
2,15266333,3398015,46027874,1204347,10317296,45978913,0.101262,12184033,32768,524288,1048576,8
2,15451363,3435899,46676448,1244518,10565523,46624024,0.102687,12396922,32768,524288,1048576,8
2,15279870,3405634,45919399,1165197,10131142,45867653,0.101013,12218083,32768,524288,1048576,8
2,15315555,3414428,45995479,1159274,10111795,45945911,0.101185,12256113,32768,524288,1048576,8
2,15308174,3412728,45973662,1158661,10107012,45923349,0.101135,12281583,32768,524288,1048576,8
2,15254175,3400763,45792683,1155686,10103483,45699310,0.121854,11351001,32768,524288,1048576,8
2,15334808,3406054,46213752,1214011,10413954,46121049,0.123073,11379092,32768,524288,1048576,8
2,15319491,3402791,46147269,1207606,10376500,46052656,0.122888,11360183,32768,524288,1048576,8
2,15467001,3437359,46552786,1207689,10415031,46460406,0.123972,11459076,32768,524288,1048576,8
2,15307303,3403829,46017267,1180082,10227467,45922161,0.122535,11358548,32768,524288,1048576,8
2,15280765,3400598,45854707,1155865,10088732,45765891,0.122115,11323518,32768,524288,1048576,8
2,15394323,3426267,46176026,1159469,10135712,46088903,0.122977,11443929,32768,524288,1048576,8
2,15341964,3414547,46020271,1155382,10101614,45931650,0.122557,11407710,32768,524288,1048576,8
2,7209555,146654,36934519,3626024,29333650,34384922,0.105955,4011276,32768,524288,1048576,8
2,7258376,149048,37502549,3719845,29866359,34812302,0.107506,4139206,32768,524288,1048576,8
2,7272468,150923,37586542,3726138,29919663,34847850,0.107635,4135916,32768,524288,1048576,8
2,7289880,147386,37634535,3734970,29990132,34965592,0.107937,4134936,32768,524288,1048576,8
2,7249057,142266,37209522,3662271,29562780,34623373,0.106806,4085431,32768,524288,1048576,8
2,7252665,144011,37190628,3649623,29510592,34587357,0.106717,4042334,32768,524288,1048576,8
2,7252114,146423,37214676,3650570,29520302,34567364,0.106706,4060381,32768,524288,1048576,8
2,7277454,151122,37409746,3668616,29663511,34669637,0.107089,4150405,32768,524288,1048576,8
2,2390397,2528191,11602265,348187,3204495,11385933,0.034046,2563347,32768,524288,1048576,8
2,2342419,2572168,12571051,381775,3386686,12393244,0.038029,2614077,32768,524288,1048576,8
2,2351315,2561088,11800086,367478,3305688,11663277,0.035005,2621909,32768,524288,1048576,8
2,2380225,2533531,11338361,347733,3181498,11169943,0.033168,2578195,32768,524288,1048576,8
2,2410267,2546376,11120848,337562,3129681,10952553,0.032241,2583674,32768,524288,1048576,8
2,2356729,2521395,11569622,340761,3138598,11381901,0.034219,2560800,32768,524288,1048576,8
2,2294684,2542796,11870758,348882,3190373,11739735,0.035615,2594133,32768,524288,1048576,8
2,2464066,2557543,11182931,335663,3124983,10969226,0.032279,2571936,32768,524288,1048576,8
2,6949012,161611,35905942,3536089,28054159,34775220,0.06406,4440699,32768,524288,1048576,8
2,6892776,146089,35567961,3503143,27785936,34475181,0.063553,4313482,32768,524288,1048576,8
2,6915000,139684,35621667,3510448,27869282,34586871,0.063683,4298184,32768,524288,1048576,8
2,6919091,142235,35664940,3514234,27888020,34602985,0.063742,4296209,32768,524288,1048576,8
2,6918954,142559,35665907,3513837,27884485,34607264,0.063755,4325576,32768,524288,1048576,8
2,6880693,147502,35519290,3497473,27739553,34413765,0.063459,4334332,32768,524288,1048576,8
2,6878562,139095,35434412,3492199,27720889,34400673,0.063349,4276865,32768,524288,1048576,8
2,6944560,151502,35872592,3531738,28002194,34737553,0.064083,4403969,32768,524288,1048576,8
2,16516467,526350,88311131,9411470,93467329,43961029,0.229542,13120591,32768,524288,1048576,8
2,16638421,518887,90942986,9941769,96601396,47276840,0.246728,13242303,32768,524288,1048576,8
2,16834238,522437,93976846,10498082,100143393,50598983,0.263644,13429156,32768,524288,1048576,8
2,16821470,520815,93877415,10481150,100016885,50513864,0.263546,13457715,32768,524288,1048576,8
2,16539386,537607,90605179,9950791,96261732,47418385,0.248297,13196470,32768,524288,1048576,8
2,16298000,575476,88204915,9521527,93444755,44892422,0.235803,13008578,32768,524288,1048576,8
2,16486210,518712,90200200,9919602,95828653,47176444,0.248558,13121797,32768,524288,1048576,8
2,16651151,519226,92255712,10255826,98184111,49233307,0.257615,13293306,32768,524288,1048576,8
2,2335957,2533055,11549146,348097,3163047,11406367,0.033629,2601470,32768,524288,1048576,8
2,2305829,2577289,12539447,381874,3338164,12410420,0.037552,2648938,32768,524288,1048576,8
2,2411152,2564190,11880363,371716,3284018,11695167,0.034604,2610135,32768,524288,1048576,8
2,2397853,2528552,11369574,353600,3169098,11191951,0.032768,2572897,32768,524288,1048576,8
2,2419419,2538679,11111731,337393,3086152,10939145,0.031769,2576204,32768,524288,1048576,8
2,2295808,2525962,11510692,341053,3097367,11402655,0.033802,2595612,32768,524288,1048576,8
2,2307845,2554191,11896465,349075,3151254,11776949,0.035219,2613936,32768,524288,1048576,8
2,2423957,2539979,11101989,333943,3068879,10923568,0.031729,2574012,32768,524288,1048576,8
2,16201325,1727728,118123259,13948576,122267754,75199579,0.321375,13588312,32768,524288,1048576,8
2,16091386,1719623,116955215,13768746,121059921,74092230,0.315636,13473309,32768,524288,1048576,8
2,15598307,1973130,110674091,12645572,114614089,67549788,0.279734,13169074,32768,524288,1048576,8
2,15910816,1721841,114540264,13339544,118689988,71484689,0.304296,13289739,32768,524288,1048576,8
2,15435149,1822071,107983476,12200285,112159472,64967742,0.275573,12916358,32768,524288,1048576,8
2,15953119,1817292,114337911,13245778,118387164,70998324,0.299304,13317261,32768,524288,1048576,8
2,16432767,1726604,120804311,14387269,124946607,77784530,0.330597,13816893,32768,524288,1048576,8
2,16226018,1723633,118192676,13941180,122349714,75084672,0.320764,13607637,32768,524288,1048576,8
2,15177167,3400732,45712492,1175443,10306148,45601511,0.054059,11230977,32768,524288,1048576,8
2,15196201,3388076,45786816,1189342,10331248,45681652,0.05424,11270980,32768,524288,1048576,8
2,15342299,3421861,46186229,1189324,10368310,46081848,0.054713,11348901,32768,524288,1048576,8
2,15126100,3374802,45524865,1168372,10206345,45425599,0.05393,11230616,32768,524288,1048576,8
2,15621028,3486271,46970002,1195578,10475168,46867698,0.055644,11550536,32768,524288,1048576,8
2,15444802,3446811,46443534,1182726,10362128,46337628,0.055014,11444950,32768,524288,1048576,8
2,15381895,3432997,46241931,1175224,10304611,46139353,0.054779,11375786,32768,524288,1048576,8
2,15591742,3479991,46873398,1190743,10441348,46769597,0.055527,11545492,32768,524288,1048576,8
2,2300166,2554406,11700447,372896,3387685,11638727,0.01697,2653820,32768,524288,1048576,8
2,2266668,2572786,12659642,412015,3537027,12598491,0.018915,2654883,32768,524288,1048576,8
2,2324436,2567360,11946077,397434,3464568,11882212,0.017444,2656762,32768,524288,1048576,8
2,2338127,2553574,11484528,376932,3351817,11420090,0.016579,2636480,32768,524288,1048576,8
2,2348359,2542431,11226455,370070,3313996,11159808,0.016072,2619582,32768,524288,1048576,8
2,2314423,2571463,11755141,367763,3320459,11699565,0.017175,2652380,32768,524288,1048576,8
2,2281594,2569465,12008855,367369,3313834,11954958,0.01774,2645853,32768,524288,1048576,8
2,2343744,2553701,11159148,352564,3232372,11099416,0.015998,2630980,32768,524288,1048576,8
2,12148720,1335633,87327637,10620828,89180093,67029954,0.236907,12572852,32768,524288,1048576,8
2,11926352,1345182,84621677,10164063,86487910,64213563,0.226458,12336894,32768,524288,1048576,8
2,12186232,1329425,87782994,10709183,89634340,67486972,0.237952,12584649,32768,524288,1048576,8
