model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc
2.0,9486897.0,748510.0,60740856.0,5456326.0,59322377.0,28086234.0,0.086063
2.0,9489776.0,739526.0,60938000.0,5502905.0,59551164.0,28274117.0,0.08663
2.0,9431333.0,739335.0,60570317.0,5455134.0,59161102.0,28124079.0,0.086198
2.0,9466455.0,741895.0,60681113.0,5444189.0,59252930.0,28037031.0,0.086015
2.0,9570230.0,881372.0,61020709.0,5454499.0,59399413.0,28013940.0,0.085928
2.0,9489894.0,742516.0,60790010.0,5456605.0,59368199.0,28097122.0,0.086203
2.0,9426234.0,740873.0,60443752.0,5418210.0,59006661.0,27949464.0,0.085753
2.0,9465603.0,741809.0,60705421.0,5448939.0,59279904.0,28048124.0,0.086051
2.0,2335957.0,2533055.0,11549146.0,348097.0,3163047.0,11406367.0,0.033629
2.0,2305829.0,2577289.0,12539447.0,381874.0,3338164.0,12410420.0,0.037552
2.0,2411152.0,2564190.0,11880363.0,371716.0,3284018.0,11695167.0,0.034604
2.0,2397853.0,2528552.0,11369574.0,353600.0,3169098.0,11191951.0,0.032768
2.0,2419419.0,2538679.0,11111731.0,337393.0,3086152.0,10939145.0,0.031769
2.0,2295808.0,2525962.0,11510692.0,341053.0,3097367.0,11402655.0,0.033802
2.0,2307845.0,2554191.0,11896465.0,349075.0,3151254.0,11776949.0,0.035219
2.0,2423957.0,2539979.0,11101989.0,333943.0,3068879.0,10923568.0,0.031729
2.0,15075362.0,8676877.0,61482897.0,2494094.0,24093336.0,58237753.0,0.100167
2.0,14999008.0,8595260.0,61345920.0,2569125.0,24365196.0,58116090.0,0.09981
2.0,15129580.0,8662928.0,61803454.0,2553131.0,24397455.0,58541810.0,0.100528
2.0,15473399.0,8875077.0,60833795.0,1997277.0,20980687.0,57423361.0,0.098947
2.0,15798720.0,8774275.0,65148056.0,2860610.0,26789801.0,61603854.0,0.10624
